Citizenship,Total Mbrs (M),Total Mbrs (F),Mbrs Abv BC (M),Mbrs Abv BC (F),Mbrs Succ (M),Mbrs Succ (F),Hired Succ,Mbrs Dead (M),Mbrs Dead (F),Hired Dead,
0,0,0,0,0,0,0,0,0,0,0,
Afghanistan/USA,1,0,1,0,1,0,0,0,0,0,
Albania,6,0,6,0,6,0,0,0,0,0,
Algeria,4,0,4,0,1,0,0,0,0,0,
Andorra,5,2,5,2,1,0,0,0,0,0,
Argentina,62,7,57,5,33,4,0,0,0,0,
Argentina/Canada,2,0,2,0,2,0,0,0,0,0,
Armenia,1,0,1,0,1,0,0,0,0,0,
Australia,283,63,252,51,120,25,0,4,2,0,
Australia/New Zealand,0,1,0,1,0,1,0,0,0,0,
Australia/USA,1,0,1,0,0,0,0,0,0,0,
Austria,211,31,184,30,87,7,0,3,0,0,
Austria/Italy,1,0,1,0,1,0,0,0,0,0,
Azerbaijan,5,1,5,1,2,1,0,0,0,0,
Azerbaijan/Russia,2,0,2,0,2,0,0,0,0,0,
Bahrain,15,0,14,0,10,0,0,0,0,0,
Bangladesh,9,3,9,3,6,2,0,1,0,0,
Belarus,7,2,7,2,5,2,0,0,0,0,
Belgium,73,7,68,6,18,4,0,1,0,0,
Bhutan,3,0,3,0,2,0,0,0,0,0,
Bolivia,5,0,5,0,3,0,0,0,0,0,
Bosnia-Herzegovina,4,0,4,0,1,0,0,0,0,0,
Bosnia-Herzegovina/USA,2,0,2,0,1,0,0,0,0,0,
Botswana,0,1,0,1,0,0,0,0,0,0,
Brazil,109,23,103,23,41,9,0,1,0,0,
Bulgaria,17,8,16,7,10,4,0,1,1,0,
Canada,361,63,309,50,145,25,0,2,1,0,
Canada/Macedonia,1,0,1,0,1,0,0,0,0,0,
Canada/Portugal,0,2,0,1,0,1,0,0,0,0,
Canada/Russia,2,0,2,0,1,0,0,0,0,0,
Canada/UK,1,0,1,0,0,0,0,0,0,0,
Canada/USA,1,0,1,0,1,0,0,0,0,0,
Chile,64,10,51,8,28,6,0,0,0,0,
China,962,217,887,193,587,158,292,4,0,0,
China/USA,0,1,0,1,0,1,0,0,0,0,
Colombia,38,4,36,4,9,4,0,0,0,0,
Costa Rica,4,4,4,4,1,1,0,0,0,0,
Croatia,17,13,15,11,3,4,0,0,0,0,
Cuba,2,0,2,0,1,0,0,0,0,0,
Cyprus,4,1,4,1,3,1,0,0,0,0,
Czech Republic,90,7,81,7,17,3,0,2,0,0,
Czechoslovakia,10,3,7,2,1,0,0,0,0,0,
