Citizenship,Total_Members,Female_Share,Above_BC_Rate,Success_Rate,Fatality_Rate,Total_Success,Total_Deaths,Hired_Success_Share,Hired_Death_Share
USA,2457.0,0.12047212047212047,0.8762718762718763,0.4468864468864469,0.005698005698005698,1098.0,14.0,0.0,0.0
India,1311.0,0.19679633867276888,0.8749046529366895,0.5049580472921434,0.016781083142639208,662.0,22.0,0.012084592145015106,0.045454545454545456
UK,1268.0,0.09384858044164038,0.8832807570977917,0.44558359621451105,0.007886435331230283,565.0,10.0,0.0,0.0
China,1179.0,0.18405428329092452,0.916030534351145,0.8795589482612384,0.0033927056827820186,1037.0,4.0,0.2815814850530376,0.0
Japan,648.0,0.13271604938271606,0.8333333333333334,0.3873456790123457,0.013888888888888888,251.0,9.0,0.0,0.0
Nepal,581.0,0.20654044750430292,0.9173838209982789,12.14974182444062,0.1514629948364888,7059.0,88.0,0.9524011899702507,0.9204545454545454
S Korea,554.0,0.0703971119133574,0.8935018050541517,0.2292418772563177,0.019855595667870037,127.0,11.0,0.0,0.0
Russia,517.0,0.10831721470019343,0.9148936170212766,0.5454545454545454,0.017408123791102514,282.0,9.0,0.0,0.0
Spain,483.0,0.06625258799171843,0.8964803312629399,0.2028985507246377,0.008281573498964804,98.0,4.0,0.0,0.0
France,440.0,0.17272727272727273,0.9431818181818182,0.35,0.00909090909090909,154.0,4.0,0.0,0.0
Canada,424.0,0.14858490566037735,0.8466981132075472,0.4009433962264151,0.007075471698113208,170.0,3.0,0.0,0.0
Australia,346.0,0.18208092485549132,0.8757225433526011,0.4190751445086705,0.017341040462427744,145.0,6.0,0.0,0.0
Italy,293.0,0.06143344709897611,0.9146757679180887,0.2764505119453925,0.006825938566552901,81.0,2.0,0.0,0.0
Germany,289.0,0.11418685121107267,0.903114186851211,0.3633217993079585,0.02422145328719723,105.0,7.0,0.0,0.0
Switzerland,251.0,0.16733067729083664,0.9083665338645418,0.3386454183266932,0.00796812749003984,85.0,2.0,0.0,0.0
Austria,242.0,0.128099173553719,0.8842975206611571,0.3884297520661157,0.012396694214876033,94.0,3.0,0.0,0.0
New Zealand,233.0,0.12875536480686695,0.8240343347639485,0.45064377682403434,0.012875536480686695,105.0,3.0,0.0,0.0
Norway,175.0,0.22285714285714286,0.8742857142857143,0.4114285714285714,0.0,72.0,0.0,0.0,
